district_number,district_name,school_number,school_name,year,subgroup,english_avg,math_avg,reading_avg,science_avg,act_composite_avg,percent_21_orhigher,percent_met_crb_english,percent_met_crb_math,percent_met_crb_reading,percent_met_crb_science,percent_met_all4_crb,avg_composite_baseline_year,avg_composite_previous,percent_21_orhigher_baseline_year,percent_21_orhigher_previous
0,State of Tennessee,0,,2017,All Students,19.5,19.4,20.4,20.3,20.1,,57.3,30.5,40.6,31,20.1,,,,
0,State of Tennessee,0,,2017,Black/Hispanic/Native,16.6,17.3,17.7,18.2,17.6,,36.9,14,22.1,14.5,7.3,,,,
0,State of Tennessee,0,,2017,Economically Disadvantaged,16.4,17.3,17.7,18.1,17.5,,36.6,13.5,22.7,14.9,7.1,,,,
0,State of Tennessee,0,,2017,English Learners,13.7,16.4,15.2,16.6,15.6,,15.6,9,7.7,7.1,2.9,,,,
0,State of Tennessee,0,,2017,Super Subgroup,16.8,17.5,18,18.3,17.8,,39,15.3,24.3,16.4,8.2,,,,
0,State of Tennessee,0,,2017,Students with Disabilities,13.8,15.9,15.4,16.1,15.4,,18.2,6.5,11.8,7.7,3.7,,,,
10,Anderson County Schools,0,,2017,All Students,18.4,18.6,19.6,19.2,19.1,,49.6,27,37.6,26.2,19.3,,,,
10,Anderson County Schools,0,,2017,Black/Hispanic/Native,15.7,17.4,17,17.6,17.1,,21.1,21.1,15.8,21.1,15.8,,,,
10,Anderson County Schools,0,,2017,Economically Disadvantaged,15.8,16.9,17.2,16.8,16.8,,31.2,10.4,21.6,13.6,9.6,,,,
10,Anderson County Schools,0,,2017,English Learners,,,,,*,,*,*,*,*,*,,,,
10,Anderson County Schools,0,,2017,Super Subgroup,15,16.7,16.5,16.6,16.4,,26.1,10.3,17.6,11.5,8.5,,,,
10,Anderson County Schools,0,,2017,Students with Disabilities,11.6,15.6,13.6,14.8,14.1,,5.4,3.6,3.6,1.8,1.8,,,,
10,Anderson County Schools,2,Anderson County High School,2017,All Students,19,19.3,20.2,20,19.8,,52.7,32.1,40.1,31.6,23.2,,,,
10,Anderson County Schools,2,Anderson County High School,2017,Black/Hispanic/Native,23,23,19,22,*,,*,*,*,*,*,,,,
10,Anderson County Schools,2,Anderson County High School,2017,Economically Disadvantaged,16.7,17.7,17.8,17.9,17.7,,32.2,16.9,27.1,20.3,15.3,,,,
10,Anderson County Schools,2,Anderson County High School,2017,English Learners,,,,,*,,*,*,*,*,*,,,,
10,Anderson County Schools,2,Anderson County High School,2017,Super Subgroup,15.9,17.5,17.1,17.5,17.2,,28.9,15.8,22.4,17.1,13.2,,,,
10,Anderson County Schools,2,Anderson County High School,2017,Students with Disabilities,11.9,15.9,14,15.5,14.6,,7.1,**,**,**,**,,,,
10,Anderson County Schools,5,Andersonville Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,5,Andersonville Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,5,Andersonville Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,5,Andersonville Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,5,Andersonville Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,10,Briceville Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,10,Briceville Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,10,Briceville Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,10,Briceville Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,10,Briceville Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,15,Claxton Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,15,Claxton Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,15,Claxton Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,15,Claxton Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,15,Claxton Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,20,Clinton Middle School,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,20,Clinton Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,20,Clinton Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,20,Clinton Middle School,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,20,Clinton Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,25,Clinton High School,2017,All Students,17.8,18,19.2,18.5,18.5,,47.3,22.3,35.7,21,15.6,,,,
10,Anderson County Schools,25,Clinton High School,2017,Black/Hispanic/Native,15.3,17.1,16.9,17.3,16.8,,16.7,16.7,16.7,22.2,16.7,,,,
10,Anderson County Schools,25,Clinton High School,2017,Economically Disadvantaged,15.1,16.1,16.9,16,16.2,,32.3,**,17.7,8.1,**,,,,
10,Anderson County Schools,25,Clinton High School,2017,English Learners,,,,,*,,*,*,*,*,*,,,,
10,Anderson County Schools,25,Clinton High School,2017,Super Subgroup,14.4,16.1,16.1,15.9,15.8,,25,6,14.3,7.1,**,,,,
10,Anderson County Schools,25,Clinton High School,2017,Students with Disabilities,11.4,15.4,13.2,14.2,13.7,,**,**,**,**,**,,,,
10,Anderson County Schools,35,Dutch Valley Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,35,Dutch Valley Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,35,Dutch Valley Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,35,Dutch Valley Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,35,Dutch Valley Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,40,Fairview Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,40,Fairview Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,40,Fairview Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,40,Fairview Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,40,Fairview Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,46,Grand Oaks Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,46,Grand Oaks Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,46,Grand Oaks Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,46,Grand Oaks Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,46,Grand Oaks Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,50,Lake City Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,50,Lake City Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,50,Lake City Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,50,Lake City Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,50,Lake City Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,55,Lake City Middle School,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,55,Lake City Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,55,Lake City Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,55,Lake City Middle School,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,55,Lake City Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,70,Norris Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,70,Norris Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,70,Norris Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,70,Norris Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,70,Norris Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,75,Norris Middle School,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,75,Norris Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,75,Norris Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,75,Norris Middle School,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,75,Norris Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,80,Norwood Elementary,2017,All Students,,,,,,,,,,,,,,,
10,Anderson County Schools,80,Norwood Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,80,Norwood Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,80,Norwood Elementary,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,80,Norwood Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,85,Norwood Middle School,2017,All Students,,,,,,,,,,,,,,,
