Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
All Boys Aren't Blue,"Johnson, George M.",Arkansas,Farmington Public Schools,Mar-23,Banned from Libraries,Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Arkansas,Conway Public Schools,Oct-22,Banned from Libraries and Classrooms,Unclear
Felix Ever After,"Callender, Kacen",Arkansas,Conway Public Schools,Oct-22,Banned from Libraries and Classrooms,Unclear
Tricks,"Hopkins, Ellen",Arkansas,Farmington Public Schools,Mar-23,Banned from Libraries,Formal Challenge
This Book Is Gay,"Dawson, Juno",California,William S. Hart Union High School District,Sep-22,Banned from Libraries and Classrooms,Unclear
Beloved,"Morrison, Toni",Colorado,Greeley-Evans Weld County School District 6,Feb-23,Banned from Libraries,Formal Challenge
Flamer,"Curato, Mike",Colorado,Cherry Creek School District,Sep-22,Banned Pending Investigation,Unclear
Gender Queer: A Memoir,"Kobabe, Maia",Colorado,Cherry Creek School District,Sep-22,Banned Pending Investigation,Unclear
Identical,"Hopkins, Ellen",Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika",Colorado,Cherry Creek School District,Sep-22,Banned from Libraries and Classrooms,Unclear
Lucky,"Sebold, Alice",Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Push,Sapphire,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Colorado,Greeley-Evans Weld County School District 6,Feb-23,Banned from Libraries,Formal Challenge
#Hockey,"Ukazu, Ngozi",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
10 Things I Can See from Here,"Mac, Carrie",Florida,Escambia County Public Schools,Jun-23,Banned Pending Investigation,Formal Challenge
"10,000 Dresses","Ewert, Marcus",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"10,000 Dresses","Ewert, Marcus",Florida,Seminole County Public Schools,Jul-22,Banned from Libraries,Formal Challenge
13 Art Inventions Children Show Know,"Heine, Florian",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
19 Love Songs,"Levithan, David",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
33 Snowfish,"Rapp, Adam",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
33 Snowfish,"Rapp, Adam",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
